watch_id,bt_device,TIR,RSSI
192.168.245.100,0Y0H,3,188
192.168.245.100,B17X,5,335
192.168.245.100,48CT,2,108
192.168.245.100,0RHZ,4,196
192.168.245.100,0XVM,4,216
192.168.245.100,0T3P,4,204
192.168.245.100,0M2P,4,182
192.168.245.100,GHBP,2,100
192.168.245.100,0WEY,2,144
192.168.245.101,0MHL,5,298
192.168.245.101,0WCE,8,452
192.168.245.101,10PW,6,300
192.168.245.101,0RHZ,2,110
192.168.245.101,0Y0H,6,356
192.168.245.101,GHBP,8,392
192.168.245.101,0S0P,12,686
192.168.245.101,0SEK,4,176
192.168.245.101,0M2P,6,258
192.168.245.101,0YRJ,6,312
192.168.245.101,0XYP,2,84
192.168.245.101,0T3P,4,182
192.168.245.101,B0VD,4,252
192.168.245.101,0MVY,2,88
192.168.245.101,0WEY,2,78
192.168.245.101,B0SM,2,118
192.168.245.101,B0YJ,6,384
192.168.245.101,B17X,5,342
192.168.245.101,3LQF,1,44
192.168.245.110,0Y0H,9,473
192.168.245.110,B0SM,3,150
192.168.245.110,0XVM,11,575
192.168.245.110,0MVY,6,280
192.168.245.110,B0YJ,6,294
192.168.245.110,0XFJ,10,598
192.168.245.110,0YRJ,7,329
192.168.245.110,10PW,4,178
192.168.245.110,0WEY,12,564
192.168.245.110,GHBP,9,497
192.168.245.110,B17X,8,398
192.168.245.110,48CT,15,842
192.168.245.110,B0VD,12,660
192.168.245.110,0MHL,8,422
192.168.245.110,0S0P,8,468
192.168.245.110,486A,10,508
192.168.245.110,0WCE,15,807
192.168.245.110,0T3P,8,434
192.168.245.110,0RHZ,6,318
192.168.245.110,0SEK,2,106
192.168.245.110,0XYP,11,551
192.168.245.110,3LQF,2,112
192.168.245.122,3LQF,1,67
192.168.245.122,GHBP,27,1524
192.168.245.122,0XVM,28,1424
192.168.245.122,0MHL,22,1144
192.168.245.122,0YRJ,54,2912
192.168.245.122,10PW,28,1598
192.168.245.122,B0VD,22,1100
192.168.245.122,0XYP,40,2214
192.168.245.122,0Y0H,32,1776
192.168.245.122,0WCE,34,1758
192.168.245.122,0XFJ,32,1758
192.168.245.122,486A,24,1410
192.168.245.122,0S0P,42,2344
192.168.245.122,0T3P,34,1726
192.168.245.122,0M2P,38,2118
192.168.245.122,0WEY,54,3458
192.168.245.122,B17X,18,946
192.168.245.122,48CT,22,1374
192.168.245.122,B0SM,30,1554
192.168.245.122,0MVY,36,2016
192.168.245.122,0SEK,24,1326
192.168.245.122,0RHZ,36,1938
192.168.245.148,0YRJ,33,1796
192.168.245.148,0MHL,21,1036
192.168.245.148,48CT,33,1866
192.168.245.148,B0VD,23,1249
192.168.245.148,10PW,31,1515
192.168.245.148,0XFJ,27,1403
192.168.245.148,0WCE,20,976
192.168.245.148,0XVM,16,912
192.168.245.148,0S0P,30,1686
192.168.245.148,0MVY,26,1292
192.168.245.148,B17X,22,1080
192.168.245.148,0SEK,18,946
192.168.245.148,0WEY,24,1274
192.168.245.148,0XYP,36,1838
192.168.245.148,0Y0H,18,958
192.168.245.148,3LQF,6,310
192.168.245.148,486A,26,1232
192.168.245.148,0T3P,22,1136
192.168.245.148,0M2P,24,1228
192.168.245.148,GHBP,10,502
