timestamp,latitude,longitude,heartRate,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magnetoX,magnetoY,magnetoZ,steps
1736264097801,0.0,0.0,0.0,4.0701427,2.920926,8.429984,-0.002443461,0.014660766,0.02076942,379.8,-529.2,-1541.46,0
1736264099839,0.0,0.0,0.0,3.8905778,2.992752,8.576031,0.0,-0.0061086523,0.002443461,378.06,-525.83997,-1543.7999,0
1736264100863,0.0,0.0,0.0,3.5362358,1.8794483,9.229648,-0.021991149,0.12095132,0.012217305,376.08,-524.88,-1544.46,0
1736264101882,0.0,0.0,0.0,3.5362358,-9.045294,-0.81642276,0.0720821,-0.35308012,-0.10995574,382.25998,-508.97998,-1541.58,0
1736264102899,0.0,0.0,0.0,8.051701,-4.7644615,-3.0789435,0.643852,0.07086037,-0.4886922,-4.2,42.96,18.3,0
1736264103940,0.0,0.0,0.0,7.098808,-6.615179,-0.58897364,0.47891834,0.3115413,0.64751714,-14.58,39.899998,6.18,0
1736264104962,0.0,0.0,0.0,6.9360023,-5.5018754,3.2225955,1.4453071,-0.073303826,0.010995574,-8.82,36.239998,-6.7799997,0
1736264105986,0.0,0.0,0.0,7.2664022,-4.5058875,4.8123455,0.05131268,-0.004886922,0.056199603,-11.219999,23.34,-24.48,0
1736264107006,0.0,0.0,0.0,7.469909,-5.997475,1.8770541,-0.68661255,-0.14294247,0.10140363,-9.719999,28.38,-18.84,0
1736264108012,0.0,0.0,0.0,6.9838862,-5.2600613,-5.1571107,-0.29932398,0.14294247,0.2003638,-9.599999,37.2,21.119999,0
1736264109014,0.0,0.0,0.0,7.905654,-5.08289,-3.9312792,-0.33353242,0.21013765,-0.036651913,-11.759999,36.54,31.08,0
1736264110025,0.0,0.0,80.0,8.432379,-6.7444663,0.8858546,7.6138244,2.6010642,1.672549,-12.78,42.18,19.32,0
1736264111027,0.0,0.0,80.0,-2.408567,4.027047,9.339781,0.40439278,0.103847094,1.0592403,40.8,-1.56,-26.279999,0
1736264112036,0.0,0.0,80.0,-0.4189853,10.704475,5.48751,-0.29077184,0.14782938,-0.48258355,33.719997,-28.98,-12.66,0
1736264113039,0.0,0.0,80.0,5.829881,-6.7253127,-1.6424223,-0.204029,0.2443461,-0.3555236,2.1599998,23.039999,-21.539999,0
1736264114049,0.0,0.0,79.0,-1.0127473,-4.9559975,7.429208,-1.7935003,0.36896262,1.6957619,-3.6,8.4,-35.04,0
