timestamp,latitude,longitude,heartRate,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magnetoX,magnetoY,magnetoZ,steps
1736781955542,0.0,0.0,0.0,-1.3838485,-0.48841715,9.662998,-0.037873644,0.002443461,0.02076942,9.42,-7.02,-35.04,0
1736781956544,0.0,0.0,0.0,-2.1667526,0.37588966,9.176975,-0.05497787,-0.0012217305,0.111177474,6.42,-6.0,-37.68,0
1736781958549,0.0,0.0,0.0,-1.1324574,-0.15562311,9.854534,-0.0012217305,0.07941248,0.2125811,-1.4399999,-0.53999996,-36.6,0
1736781959553,0.0,0.0,0.0,-1.3934253,1.0773908,9.583989,0.1001819,-0.008552114,-0.23945917,-1.1999999,-1.4399999,-35.1,0
1736781961556,0.0,0.0,0.0,-1.9273324,-8.607155,5.032612,-0.39706242,-0.675617,0.44348818,-0.06,24.119999,-18.48,0
1736781963559,0.0,0.0,0.0,-2.7868507,-7.8290396,3.9839516,-0.12950343,-0.643852,0.204029,8.82,38.219997,0.71999997,0
1736781965563,0.0,0.0,0.0,-1.8938135,-8.626308,3.6391866,0.20769419,0.37995818,-0.047647487,10.38,39.0,5.7599998,0
1736781967564,0.0,0.0,0.0,0.4357447,-10.041282,1.2808979,0.02687807,-0.3885103,0.20769419,2.3999999,36.78,6.96,0
1736781969567,0.0,0.0,101.0,-0.7038953,-9.239224,2.207454,0.33108896,-0.16249016,0.25534168,6.2999997,37.86,7.56,0
1736781970569,0.0,0.0,100.0,-1.9057846,-8.327033,3.5098996,0.2602286,-0.46303585,0.30787608,9.179999,38.52,1.92,0
1736781971586,0.0,0.0,98.0,-10.647015,-3.3686419,0.31124622,0.06352998,0.07452556,0.70249504,29.46,31.8,2.28,0
1736781972589,0.0,0.0,97.0,-10.081984,-0.7757214,0.4405331,0.29443705,-0.087964594,-0.040317107,43.26,17.699999,15.179999,0
1736781973612,0.0,0.0,96.0,-10.139444,-1.2521675,-0.6368576,0.6780604,0.16371189,-0.52778757,45.0,13.679999,15.54,0
1736781974616,0.0,0.0,96.0,-9.7563715,-0.12210429,-0.35673606,0.35063666,-0.034208454,-0.087964594,43.32,17.52,14.34,0
1736781975639,0.0,0.0,95.0,-10.261548,0.8355764,-1.4197617,0.018325957,0.05131268,-0.0842994,45.719997,15.48,13.0199995,0
1736781976643,0.0,0.0,95.0,-10.053253,0.36870706,-0.50517654,0.02076942,-0.04642576,0.17470746,48.12,13.2,15.48,0
1736781977664,0.0,0.0,94.0,-9.591172,0.91458505,-0.8595184,0.9297369,0.06719518,0.06841691,49.68,9.66,14.7,0
1736781978668,0.0,0.0,94.0,-10.110714,1.1875241,-0.8834604,-0.172264,-0.04520403,-0.042760566,52.559998,9.9,18.119999,0
1736781979692,0.0,0.0,93.0,-9.665392,-0.30645782,-0.10295067,0.0842994,0.037873644,-0.10751228,54.899998,6.8999996,16.5,0
1736781980695,0.0,0.0,93.0,-10.6158905,0.09816227,-1.484405,-0.9859365,-0.17470746,-0.28221974,58.859997,10.32,16.56,0
1736781981721,0.0,0.0,92.0,-10.912771,-0.01436521,-0.46926352,0.4972443,0.28344148,0.15515977,60.059998,13.259999,18.3,0
1736781983747,0.0,0.0,92.0,-9.222465,0.7661445,-0.06703765,-0.09407325,0.02687807,0.21135938,58.62,18.72,17.1,0
1736781984750,0.0,0.0,91.0,-9.323022,-0.25378537,-1.3144168,0.267559,-0.081855945,0.043982297,56.34,18.72,17.039999,0
1736781985796,0.0,0.0,90.0,-10.096349,-1.2090719,0.45250413,-0.16249016,0.15149458,0.61575216,56.699997,17.4,16.56,0
1736781986803,0.0,0.0,91.0,-9.65821,0.33518824,-0.7015011,-0.27977628,-0.06352998,-0.029321533,58.079998,13.559999,17.94,0
1736781987820,0.0,0.0,90.0,-11.848905,-0.7182605,-1.8746599,0.21991149,-0.09896017,-0.16371189,60.84,12.78,21.0,0
1736781989847,0.0,0.0,90.0,-9.651027,1.4413095,-0.36152446,0.9737192,0.17104226,-0.118507855,61.559998,17.52,19.02,0
1736781991873,0.0,0.0,92.0,-10.01734,-1.2354081,-0.89303726,0.44715336,0.029321533,-0.30665436,57.48,23.279999,9.24,0
1736781993899,0.0,0.0,91.0,-8.616732,-0.7589619,-0.89543146,0.4129449,0.22113322,-0.10140363,55.86,20.22,11.46,0
1736781994902,0.0,0.0,90.0,-9.258378,-0.59615624,-0.45250413,0.1001819,-0.1001819,0.6218608,60.059998,17.46,14.88,11
1736781995925,0.0,0.0,90.0,-8.4347725,-0.6536171,-1.2617443,0.4007276,0.33475417,0.13316862,59.46,21.779999,16.38,13
1736781996929,0.0,0.0,90.0,-9.287108,-0.11971009,-0.24420857,0.073303826,0.02321288,0.23090707,61.5,19.439999,15.78,17
1736781997950,0.0,0.0,91.0,-6.8689647,-6.0980315,5.5976434,3.2192597,-2.4165828,-1.1765264,57.48,27.48,15.299999,19
1736781998953,0.0,0.0,92.0,-1.4580688,2.9616275,9.150639,0.16126843,-0.07696902,-0.6365216,19.32,4.2599998,-44.34,21
1736782000002,0.0,0.0,92.0,-0.5554548,2.336741,8.995016,-1.4379768,0.14172074,-0.8014552,5.16,-7.08,-44.28,23
1736782001012,0.0,0.0,91.0,-6.6079965,-7.153875,1.0773908,0.535118,0.10262536,0.02076942,23.519999,49.98,-3.72,25
1736782002036,0.0,0.0,90.0,-9.471462,-1.7597382,2.4468741,0.06719518,0.2565634,0.16737708,53.1,34.68,3.78,25
1736782004049,0.0,0.0,90.0,-9.109938,-7.335834,4.0773253,0.5729916,-0.48624873,-0.37507126,54.719997,33.6,4.2,33
1736782005052,0.0,0.0,88.0,-1.1851299,1.0582372,11.293449,-0.112399206,0.09162979,0.17715092,-11.34,10.86,-41.579998,33
1736782006077,0.0,0.0,89.0,-1.6496049,1.5825673,10.25676,-0.50701815,0.15393804,-0.28710666,-16.74,-3.78,-43.62,36
1736782008104,0.0,0.0,93.0,-9.619903,0.1340753,1.9177556,0.8881981,-0.10629055,-0.45570546,33.0,18.48,-16.859999,37
1736782010131,0.0,0.0,95.0,-8.62152,0.1340753,1.5035586,0.344528,0.3640757,0.11728613,33.719997,24.359999,-18.539999,43
1736782012157,0.0,0.0,94.0,-9.464279,-0.30885202,2.0805612,0.19792034,0.27977628,0.4092797,22.439999,22.439999,-19.92,47
1736782013160,0.0,0.0,94.0,-9.387665,0.24660277,1.8698715,-0.46303585,0.32986724,0.2284636,21.18,18.9,-12.12,51
1736782014183,0.0,0.0,95.0,-8.813056,-1.0654198,1.9632454,-1.1765264,0.48380527,0.70249504,18.0,17.58,-11.639999,55
1736782016242,0.0,0.0,95.0,-9.3182335,0.4261679,2.0350714,0.09162979,-0.039095376,-0.02076942,32.94,8.04,3.84,59
1736782017262,0.0,0.0,95.0,-12.3277445,-0.5410896,1.1420342,-0.7672467,0.55833083,1.2767084,35.64,18.779999,-2.28,63
1736782018273,0.0,0.0,96.0,-9.454702,-0.7733272,2.3415294,0.9578367,-0.17715092,-0.45448375,42.18,13.679999,5.46,65
1736782020308,0.0,0.0,98.0,-9.873688,-0.5793968,-0.1388637,-0.34330627,-0.2565634,-0.2284636,34.26,23.58,5.52,69
1736782021368,0.0,0.0,98.0,-8.231265,-0.04309563,0.90740246,0.057421334,0.056199603,0.23579398,26.64,24.18,5.16,69
1736782022781,0.0,0.0,98.0,-8.535329,-1.0821792,-0.33518824,0.5363397,-0.15149458,-0.9896017,26.58,20.699999,7.7999997,69
1736782023785,0.0,0.0,98.0,-10.510546,0.9816227,2.4133554,1.4147639,0.34574974,0.1685988,24.359999,20.16,5.22,69
1736782024809,0.0,0.0,98.0,-7.7811556,-1.6256629,1.8387469,0.30909783,0.39095375,1.1765264,14.82,25.199999,1.8,69
1736782026229,0.0,0.0,99.0,-12.753913,-1.9033904,2.813187,0.18570304,0.72204274,1.9620992,22.02,21.359999,3.6,69
1736782028038,0.0,0.0,99.0,-9.562442,-0.8283938,0.8451532,0.16982053,0.172264,0.18203785,27.539999,17.88,5.7599998,69
1736782029419,0.0,0.0,99.0,-10.33098,-0.90979666,0.21547815,-1.2925909,-0.40194935,0.204029,27.599998,24.18,1.14,69
1736782031267,0.0,0.0,99.0,-8.508993,-0.79966336,1.8602947,0.46914452,0.312763,-0.19792034,30.48,19.92,3.84,69
1736782033059,0.0,0.0,98.0,-11.425131,-2.2577322,1.6280571,0.18203785,0.0012217305,0.040317107,33.84,18.24,9.96,69
1736782034474,0.0,0.0,99.0,-10.247183,-0.33997664,1.4077905,0.73914695,0.14049901,-0.16126843,30.3,21.24,6.48,69
1736782036257,0.0,0.0,98.0,-8.4347725,-0.51475334,1.1611878,1.1068878,0.21991149,-0.02443461,30.359999,16.98,10.139999,69
1736782037674,0.0,0.0,98.0,-12.284649,-0.35913026,-0.89782566,0.8038987,0.07696902,0.19425514,31.98,14.46,12.719999,69
1736782039685,0.0,0.0,98.0,-9.425972,0.48602295,-0.24181437,0.14660765,-0.06963864,0.04886922,32.88,16.92,1.8,69
1736782042255,0.0,0.0,100.0,-12.260707,-1.0031705,1.8842367,-0.21135938,0.25900686,0.6084218,27.96,14.82,3.6,69
1736782044021,0.0,0.0,100.0,-10.309433,-1.3455414,-0.7374141,0.22357668,-0.6719518,-1.0763446,31.14,13.74,3.36,69
1736782045462,0.0,0.0,99.0,-9.325416,-1.0821792,0.4405331,0.97127575,-0.21380283,-0.893085,31.019999,17.34,6.8999996,69
1736782047283,0.0,0.0,98.0,-7.747637,-1.3072342,0.1388637,0.3115413,-0.096516706,-0.7464773,28.38,16.68,9.059999,69
1736782049056,0.0,0.0,99.0,-12.457031,-1.5921441,0.0023942017,-0.8772025,-0.008552114,1.1716396,25.5,21.3,9.84,69
1736782050471,0.0,0.0,100.0,-5.386954,-7.764396,-4.249708,-1.1594223,0.94806284,-1.9120082,23.34,19.98,13.799999,69
1736782052025,0.0,0.0,100.0,3.0334535,-7.7548194,-0.7302315,2.1099286,0.3408628,-0.06841691,-27.96,26.099998,29.039999,69
1736782053405,0.0,0.0,100.0,2.4947581,-8.865729,0.35434186,0.030543262,-0.004886922,0.0842994,-35.64,30.48,15.839999,69
1736782055214,0.0,0.0,98.0,3.1268275,-10.151415,1.0965444,0.26145032,-0.2284636,-0.103847094,-36.059998,29.34,11.759999,69
1736782057022,0.0,0.0,98.0,2.3463178,-9.299079,1.8004397,0.18936823,-0.22602014,0.0,-35.04,28.26,11.4,69
1736782058452,0.0,0.0,0.0,3.13401,-10.943896,4.0773253,0.09896017,0.111177474,0.13316862,-38.04,30.119999,18.3,69
1736782060236,0.0,0.0,0.0,3.2752678,-7.383718,4.2904096,0.49846604,-0.61208695,-0.09773844,-34.2,26.16,-1.9799999,69
1736782062037,0.0,0.0,0.0,7.089231,-5.401319,3.976769,0.080634214,-0.05375614,0.035430185,-44.579998,23.699999,-0.24,69
1736782063426,0.0,0.0,0.0,6.7947445,-5.506664,4.0940847,0.04642576,0.015882496,0.02321288,-45.42,24.24,0.84,69
1736782065241,0.0,0.0,0.0,4.7644615,-8.475474,4.4316673,-1.65911,0.015882496,0.09162979,-41.28,29.099998,-7.5,69
1736782067657,0.0,0.0,0.0,-5.2840033,-2.0398598,9.208099,0.49113566,0.29443705,0.9236283,3.78,16.32,-30.96,123
1736782069690,0.0,0.0,0.0,6.045359,0.90740246,7.8290396,-0.014660766,-0.039095376,0.0036651916,-31.08,10.5,-29.4,123
1736782071724,0.0,0.0,94.0,6.145916,0.8690952,7.6494746,0.010995574,-0.004886922,0.019547688,-33.78,9.78,-28.98,123
1736782073748,0.0,0.0,89.0,0.023942016,-5.470751,6.789956,-1.314582,-0.04153884,-0.26633725,-22.439999,21.48,-26.76,123
1736782074751,0.0,0.0,88.0,0.4189853,-9.495404,-0.533907,-0.675617,-0.37507126,0.09285152,-23.16,30.42,7.02,123
1736782076039,0.0,0.0,89.0,2.4253263,-10.805033,-1.0821792,-0.15882497,-0.49480084,0.10262536,-27.48,36.36,13.98,123
