timestamp,latitude,longitude,heartRate,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magnetoX,magnetoY,magnetoZ,steps
1736785467706,0.0,0.0,0.0,0.89064306,0.24660277,9.579201,-0.35063666,-0.008552114,-0.34574974,9.66,6.12,-24.24,0
1736785468728,0.0,0.0,84.0,-0.050278235,1.5035586,9.414001,-0.24556783,-0.0061086523,0.32375857,11.759999,-2.28,-30.96,0
1736785470758,0.0,0.0,89.0,0.48841715,0.4381389,8.772355,0.59986967,0.28221974,-0.38362336,10.559999,-0.48,-36.059998,0
1736785471772,0.0,0.0,90.0,-2.9520507,-6.5696893,6.3182983,-0.9114109,-0.4288274,0.37751472,27.18,17.46,-19.8,0
1736785472780,0.0,0.0,90.0,-9.718064,-2.3558946,1.6711528,-1.7055358,0.48380527,2.438574,29.16,20.64,-14.759999,0
1736785473800,0.0,0.0,90.0,-8.602366,-1.9440918,0.045489833,0.7257079,-0.7452556,-1.17897,37.68,-14.639999,2.58,0
1736785475844,0.0,0.0,90.0,-9.500193,-0.10295067,0.31364042,-1.1972959,-0.6646214,0.20280726,31.619999,7.02,-4.14,0
1736785476855,0.0,0.0,90.0,-8.726865,-1.472434,0.39504328,-0.22479841,-0.66828656,-1.6224581,32.04,-4.2599998,-4.2,11
1736785477895,0.0,0.0,90.0,-11.410766,-1.3599066,2.6024973,0.02687807,-0.07696902,-0.021991149,32.04,0.17999999,-6.54,15
1736785478921,0.0,0.0,90.0,-11.020511,-0.24181437,1.0534488,1.2302825,-0.69027776,1.3475688,32.28,8.82,3.6,17
1736785479946,0.0,0.0,91.0,-8.848969,-1.7357962,0.17477672,-0.37140608,-0.6401868,-1.0115929,39.18,-11.5199995,0.53999996,19
1736785481975,0.0,0.0,91.0,-9.270349,0.1604115,2.0853498,0.8784242,-0.14782938,0.516792,33.48,16.26,-11.5199995,26
1736785482988,0.0,0.0,91.0,-9.440337,-2.2768857,2.267309,-0.47647488,0.35796702,-0.28588495,34.8,-3.1799998,-10.62,28
1736785484035,0.0,0.0,90.0,-10.536881,-1.7046716,2.2146366,-1.9523253,0.0,-0.07574729,31.98,-1.5,-16.92,33
1736785485049,0.0,0.0,90.0,-6.751649,-5.8681884,0.19393034,-1.5894713,-0.37384954,-0.56199604,26.34,13.86,-19.32,35
1736785486057,0.0,0.0,90.0,-11.621455,-2.042254,0.58657944,1.59558,0.08674286,-0.61086524,28.14,6.54,-20.699999,39
1736785488081,0.0,0.0,91.0,-8.468291,-2.765303,0.23702596,-0.85154617,-0.24678956,-1.2253957,37.62,-9.9,-4.02,43
1736785490106,0.0,0.0,91.0,-10.517728,-3.6631286,0.5267244,-0.54611355,-0.34330627,0.95539325,38.579998,7.56,5.7599998,49
1736785491110,0.0,0.0,92.0,-8.880095,-2.5785553,-0.18195933,0.089186326,-0.0842994,-1.2791518,38.76,-10.74,2.46,51
1736785492137,0.0,0.0,92.0,-8.959103,-1.6519991,2.6839,1.2608259,-0.3555236,0.36285394,36.78,-8.28,-2.52,53
1736785493140,0.0,0.0,92.0,-6.6989765,-4.525041,2.2146366,-1.9144517,-0.28955013,-0.7867944,37.8,3.4199998,7.98,56
1736785494157,0.0,0.0,92.0,-11.374852,-2.018312,1.4508862,-0.9663888,-0.17715092,-0.19425514,40.5,-7.44,9.54,61
1736785496185,0.0,0.0,92.0,-10.096349,-2.4971523,0.45729253,0.25045475,0.32498032,-1.2156218,41.04,-13.259999,-1.4399999,66
1736785498211,0.0,0.0,92.0,-9.892841,-1.2186487,2.7700913,0.13683382,0.38728857,0.5729916,39.78,7.9199996,8.22,72
1736785500263,0.0,0.0,93.0,-9.636662,-1.0630256,2.0685902,1.0030408,0.40317106,0.09896017,42.48,9.54,11.28,78
