timestamp,questionID,questionText,answer
1736781144453,1,Ready to go?,ASKED
1736781159758,1,Ready to go?,✅ Yes
1736781204456,2,How does it feel?,ASKED
1736781216088,2,How does it feel?,☀️ Lively
1736781324509,3,Do you like being here?,ASKED
1736781330476,3,Do you like being here?,Yes!
1736781444473,2,How does it feel?,ASKED
1736781453963,2,How does it feel?,🤯 Chaotic
1736781564479,3,Do you like being here?,ASKED
1736781567898,3,Do you like being here?,Yes!
1736781684480,2,How does it feel?,ASKED
1736781757003,2,How does it feel?,☀️ Lively
1736781804474,3,Do you like being here?,ASKED
1736781826938,3,Do you like being here?,Yes!
1736781924468,2,How does it feel?,ASKED
1736781927213,2,How does it feel?,🪷 Calm
1736782044473,3,Do you like being here?,ASKED
1736782049181,3,Do you like being here?,Hmmmm
1736782164451,2,How does it feel?,ASKED
1736782195553,2,How does it feel?,🪷 Calm
1736782284473,3,Do you like being here?,ASKED
1736782288109,3,Do you like being here?,Yes!
