timestamp,questionID,questionText,answer
1736781146044,1,Ready to go?,ASKED
1736781164521,1,Ready to go?,✅ Yes
1736781206059,2,How does it feel?,ASKED
1736781226664,2,How does it feel?,🪷 Calm
1736781326078,3,Do you like being here?,ASKED
1736781346740,3,Do you like being here?,Yes!
1736781446053,2,How does it feel?,ASKED
1736781496186,2,How does it feel?,🪷 Calm
1736781566087,3,Do you like being here?,ASKED
1736781572118,3,Do you like being here?,Yes!
1736781686055,2,How does it feel?,ASKED
1736781699352,2,How does it feel?,☀️ Lively
