timestamp,questionID,questionText,answer
1736781150101,1,Ready to go?,ASKED
1736781191707,1,Ready to go?,✅ Yes
1736781210100,2,How does it feel?,ASKED
1736781233592,2,How does it feel?,☀️ Lively
1736781330114,3,Do you like being here?,ASKED
1736781334892,3,Do you like being here?,Hmmmm
1736781450098,2,How does it feel?,ASKED
1736781460968,2,How does it feel?,😒 Listless
1736781570110,3,Do you like being here?,ASKED
1736781576063,3,Do you like being here?,Yes!
1736781690097,2,How does it feel?,ASKED
1736781739680,2,How does it feel?,🪷 Calm
1736781810104,3,Do you like being here?,ASKED
1736781816612,3,Do you like being here?,Hmmmm
1736781930091,2,How does it feel?,ASKED
1736782014488,2,How does it feel?,🤯 Chaotic
1736782050097,3,Do you like being here?,ASKED
1736782064755,3,Do you like being here?,Hmmmm
1736782170078,2,How does it feel?,ASKED
1736782177284,2,How does it feel?,😒 Listless
1736782290110,3,Do you like being here?,ASKED
1736782330444,3,Do you like being here?,Yes!
