timestamp,questionID,questionText,answer
1736781155610,1,Ready to go?,ASKED
1736781164468,1,Ready to go?,✅ Yes
1736781215628,2,How does it feel?,ASKED
1736781222872,2,How does it feel?,🪷 Calm
1736781335637,3,Do you like being here?,ASKED
1736781343205,3,Do you like being here?,Yes!
1736781455631,2,How does it feel?,ASKED
1736781469474,2,How does it feel?,☀️ Lively
1736781575638,3,Do you like being here?,ASKED
1736781584807,3,Do you like being here?,Yes!
1736781695629,2,How does it feel?,ASKED
1736781725767,2,How does it feel?,🪷 Calm
1736781815615,3,Do you like being here?,ASKED
1736781936067,2,How does it feel?,ASKED
1736781951346,2,How does it feel?,🪷 Calm
1736781953761,2,How does it feel?,🪷 Calm
1736781956402,2,How does it feel?,🪷 Calm
1736782056049,3,Do you like being here?,ASKED
1736782176085,2,How does it feel?,ASKED
1736782296054,3,Do you like being here?,ASKED
1736782300838,3,Do you like being here?,Yes!
1736782415600,2,How does it feel?,ASKED
