timestamp,questionID,questionText,answer
1736781148047,1,Ready to go?,ASKED
1736781208064,2,How does it feel?,ASKED
1736781225421,1,Ready to go?,✅ Yes
1736781328104,3,Do you like being here?,ASKED
1736781341727,3,Do you like being here?,Hmmmm
1736781448092,2,How does it feel?,ASKED
1736781466642,2,How does it feel?,☀️ Lively
1736781568059,3,Do you like being here?,ASKED
1736781586864,3,Do you like being here?,Yes!
1736781688065,2,How does it feel?,ASKED
1736781808073,3,Do you like being here?,ASKED
1736781923453,2,How does it feel?,🪷 Calm
1736781928054,2,How does it feel?,ASKED
1736781930935,2,How does it feel?,🪷 Calm
1736782048075,3,Do you like being here?,ASKED
1736782063516,3,Do you like being here?,Yes!
1736782168033,2,How does it feel?,ASKED
1736782183689,2,How does it feel?,😒 Listless
1736782288058,3,Do you like being here?,ASKED
1736782331692,3,Do you like being here?,Yes!
