timestamp,questionID,questionText,answer
1736781143744,1,Ready to go?,ASKED
1736781192590,1,Ready to go?,✅ Yes
1736781203778,2,How does it feel?,ASKED
1736781223049,2,How does it feel?,🪷 Calm
1736781323750,3,Do you like being here?,ASKED
1736781346350,3,Do you like being here?,Yes!
1736781443763,2,How does it feel?,ASKED
1736781461631,2,How does it feel?,☀️ Lively
1736781563789,3,Do you like being here?,ASKED
1736781655779,3,Do you like being here?,Yes!
1736781683747,2,How does it feel?,ASKED
1736781733995,2,How does it feel?,🪷 Calm
1736781803772,3,Do you like being here?,ASKED
1736781912645,3,Do you like being here?,Yes!
1736781923754,2,How does it feel?,ASKED
1736782043767,3,Do you like being here?,ASKED
1736782163754,2,How does it feel?,ASKED
1736782283768,3,Do you like being here?,ASKED
1736782353083,2,How does it feel?,🪷 Calm
1736782403735,2,How does it feel?,ASKED
