timestamp,questionID,questionText,answer
1736784744202,1,Ready to go?,ASKED
1736784791412,1,Ready to go?,✅ Yes
1736784804204,2,How does it feel?,ASKED
1736784845826,2,How does it feel?,☀️ Lively
1736784924218,3,Do you like being here?,ASKED
1736784937868,3,Do you like being here?,Yes!
1736785044199,2,How does it feel?,ASKED
1736785049823,2,How does it feel?,🤯 Chaotic
1736785164237,3,Do you like being here?,ASKED
1736785275206,3,Do you like being here?,Yes!
1736785284202,2,How does it feel?,ASKED
1736785404203,3,Do you like being here?,ASKED
1736785415879,3,Do you like being here?,Yes!
1736785524208,2,How does it feel?,ASKED
1736785530829,2,How does it feel?,🪷 Calm
1736785644204,3,Do you like being here?,ASKED
1736785648394,3,Do you like being here?,Yes!
1736785764210,2,How does it feel?,ASKED
1736785884225,3,Do you like being here?,ASKED
1736785890488,3,Do you like being here?,Yes!
1736786004221,2,How does it feel?,ASKED
1736786016491,2,How does it feel?,☀️ Lively
1736786019456,2,How does it feel?,☀️ Lively
1736786021312,2,How does it feel?,☀️ Lively
1736786029100,2,How does it feel?,☀️ Lively
1736786031623,2,How does it feel?,☀️ Lively
1736786041623,2,How does it feel?,☀️ Lively
1736786045424,2,How does it feel?,☀️ Lively
1736786050634,2,How does it feel?,☀️ Lively
1736786052011,2,How does it feel?,☀️ Lively
1736786053958,2,How does it feel?,🪷 Calm
