timestamp,questionID,questionText,answer
1736781150619,1,Ready to go?,ASKED
1736781210629,2,How does it feel?,ASKED
1736781224424,2,How does it feel?,🪷 Calm
1736781330647,3,Do you like being here?,ASKED
1736781345689,3,Do you like being here?,Yes!
1736781450629,2,How does it feel?,ASKED
1736781457026,2,How does it feel?,🤯 Chaotic
1736781570657,3,Do you like being here?,ASKED
1736781580622,3,Do you like being here?,Yes!
1736781690656,2,How does it feel?,ASKED
1736781810653,3,Do you like being here?,ASKED
1736781817075,3,Do you like being here?,Yes!
1736781930643,2,How does it feel?,ASKED
1736782050651,3,Do you like being here?,ASKED
1736782170644,2,How does it feel?,ASKED
1736782178359,2,How does it feel?,☀️ Lively
1736782181033,2,How does it feel?,☀️ Lively
1736782185722,2,How does it feel?,☀️ Lively
1736782290657,3,Do you like being here?,ASKED
