timestamp,questionID,questionText,answer
1736781145482,1,Ready to go?,ASKED
1736781154151,1,Ready to go?,✅ Yes
1736781205492,2,How does it feel?,ASKED
1736781217042,2,How does it feel?,☀️ Lively
1736781325480,3,Do you like being here?,ASKED
1736781331463,3,Do you like being here?,Yes!
1736781445496,2,How does it feel?,ASKED
1736781460444,2,How does it feel?,🪷 Calm
1736781565489,3,Do you like being here?,ASKED
1736781685514,2,How does it feel?,ASKED
1736781715583,3,Do you like being here?,Yes!
1736781805518,3,Do you like being here?,ASKED
1736781849014,3,Do you like being here?,Yes!
1736781925492,2,How does it feel?,ASKED
1736781940357,2,How does it feel?,🪷 Calm
1736782045512,3,Do you like being here?,ASKED
1736782165484,2,How does it feel?,ASKED
1736782285487,3,Do you like being here?,ASKED
1736782389924,3,Do you like being here?,Hmmmm
